station_id,lat,lon,station_name
3088,39.969841,-75.1418,3rd & Girard
3125,39.943909,-75.167351,15th & South
3067,39.964111,-75.19973,"39th & Mt. Vernon, Mantua Haverford Community Center"
3114,39.937752,-75.180122,22nd & Federal
3046,39.950119,-75.144722,2nd & Market
3049,39.945091,-75.142502,Foglietta Plaza
3187,39.957249,-75.172318,20th & Race
3024,39.948219,-75.209084,"43rd & Chester, Clark Park"
3016,39.968922,-75.154701,"11th & Poplar, John F. Street Community Center"
3110,39.96175,-75.136414,Del. River Trail & Penn St.
3068,39.93549,-75.167107,Broad & Federal
3047,39.95071,-75.149208,"Independence Mall, NPS"
3018,39.952728,-75.15979,12th & Filbert
3033,39.95005,-75.156723,10th & Chestnut
3074,39.955109,-75.209869,44th & Walnut
3027,39.95694,-75.200691,"40th Street Station, MFL"
3188,39.904709,-75.173401,"Broad & Pattison, BSL"
3129,39.946812,-75.193108,"The Children's Hospital of Philadelphia, East Service Drive"
3123,39.980042,-75.170883,22nd & Cecil B. Moore
3008,39.980782,-75.150551,Temple University Station
3010,39.947109,-75.166183,15th & Spruce
3019,39.954029,-75.149834,6th & Race
3111,39.977791,-75.213226,"Parkside & Belmont, Case Buildling"
3015,39.94735,-75.148857,"4th & Walnut, NPS"
3181,39.89629,-75.17514,Crescent Park
3096,39.991192,-75.179749,29th & Dauphin
3183,39.889938,-75.176788,15th & Kitty Hawk
3186,39.89307,-75.171677,12th & Normandy
3093,39.988369,-75.187012,33rd & Diamond
3117,39.978409,-75.223991,ParkWest Town Center
3095,39.987709,-75.180519,29th & Diamond
3113,39.97472,-75.197807,Philadelphia Zoo
3000,NA,NA,Virtual Station
3182,39.950809,-75.169533,17th & Sansom
3184,39.945728,-75.195511,NA
3023,39.949466,-75.171864,Rittenhouse Square
3048,NA,NA,Broad & Fitzwater
3105,NA,NA,Penn Treaty Park
3109,39.97433,-75.203675,Parkside & Girard
