STATION,NAME,DATE,PRCP,SNOW,SNWD,TMAX,TMIN
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",6/30/2016,0,0,0,87,68
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/1/2016,0,0,0,89,67
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/2/2016,0.04,0,0,87,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/3/2016,0,0,0,80,69
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/4/2016,0,0,0,82,67
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/5/2016,0.55,0,0,81,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/6/2016,0,0,0,90,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/7/2016,0,0,0,96,76
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/8/2016,0,0,0,96,78
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/9/2016,0,0,0,96,74
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/10/2016,0.03,0,0,81,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/11/2016,0,0,0,86,71
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/12/2016,0,0,0,87,66
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/13/2016,0,0,0,89,73
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/14/2016,0.63,0,0,80,76
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/15/2016,0,0,0,95,79
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/16/2016,0,0,0,93,80
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/17/2016,0,0,0,95,74
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/18/2016,0,0,0,93,76
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/19/2016,1.09,0,0,96,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/20/2016,0,0,0,89,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/21/2016,0,0,0,88,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/22/2016,0,0,0,91,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/23/2016,0,0,0,95,79
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/24/2016,0,0,0,98,75
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/25/2016,1.01,0,0,84,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/26/2016,1.85,0,0,97,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/27/2016,0,0,0,84,79
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/28/2016,0,0,0,88,77
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/29/2016,0.8,0,0,94,72
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/30/2016,0,0,0,91,75
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",7/31/2016,0.8,,,91,75
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/1/2016,0,0,0,92,73
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/2/2016,0.01,0,0,78,73
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/3/2016,0,0,0,81,70
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/4/2016,0,0,0,84,67
USC00366886,"PHILADELPHIA FRANKLIN INSTITUTE, PA US",8/5/2016,0,0,0,86,70
